"","iter","estimate","priorSD","grouping","bayestype","parameter","est.type","priortype","type"
"234","1",0.2218,"2","G4","post","b1","bias","uninformative","bayes.est"
"235","1",-5.3009,"2","G4","post","b0","coef","uninformative","bayes.est"
"236","1",0.1132,"2","G4","post","b1","coef","uninformative","bayes.est"
"237","1",-0.0093,"2","pi","post","pi","bias","uninformative","bayes.est"
"238","1",0.7154,"2","pi","post","pi","coef","uninformative","bayes.est"
"239","1",-9.9139,"2",NA,"prior","b0","coef","uninformative","bayes.est"
"240","1",0.2517,"2",NA,"prior","b1","coef","uninformative","bayes.est"
"241","1",0.0171,"3","G1","post","b0","bias","uninformative","bayes.est"
"242","1",0.0223,"3","G1","post","b1","bias","uninformative","bayes.est"
"243","1",-3.3286,"3","G1","post","b0","coef","uninformative","bayes.est"
"244","1",0.093,"3","G1","post","b1","coef","uninformative","bayes.est"
"245","1",0.0064,"3","G2","post","b0","bias","uninformative","bayes.est"
"246","1",0.0012,"3","G2","post","b1","bias","uninformative","bayes.est"
"247","1",-4.5007,"3","G2","post","b0","coef","uninformative","bayes.est"
"248","1",0.0906,"3","G2","post","b1","coef","uninformative","bayes.est"
"249","1",0.0068,"3","G3","post","b0","bias","uninformative","bayes.est"
"250","1",-9e-04,"3","G3","post","b1","bias","uninformative","bayes.est"
"251","1",-5.9737,"3","G3","post","b0","coef","uninformative","bayes.est"
"252","1",0.1598,"3","G3","post","b1","coef","uninformative","bayes.est"
"253","1",0.0272,"3","G4","post","b0","bias","uninformative","bayes.est"
"254","1",0.0272,"3","G4","post","b1","bias","uninformative","bayes.est"
"255","1",-4.8107,"3","G4","post","b0","coef","uninformative","bayes.est"
"256","1",0.0952,"3","G4","post","b1","coef","uninformative","bayes.est"
"257","1",-0.009,"3","pi","post","pi","bias","uninformative","bayes.est"
"258","1",0.7156,"3","pi","post","pi","coef","uninformative","bayes.est"
"259","1",-5.1079,"3",NA,"prior","b0","coef","uninformative","bayes.est"
"260","1",0.218,"3",NA,"prior","b1","coef","uninformative","bayes.est"
"261","1",0.0226,"4","G1","post","b0","bias","uninformative","bayes.est"
"262","1",0.0336,"4","G1","post","b1","bias","uninformative","bayes.est"
"263","1",-3.3467,"4","G1","post","b0","coef","uninformative","bayes.est"
"264","1",0.094,"4","G1","post","b1","coef","uninformative","bayes.est"
"265","1",0.0126,"4","G2","post","b0","bias","uninformative","bayes.est"
"266","1",0.0148,"4","G2","post","b1","bias","uninformative","bayes.est"
"267","1",-4.5287,"4","G2","post","b0","coef","uninformative","bayes.est"
"268","1",0.0919,"4","G2","post","b1","coef","uninformative","bayes.est"
"269","1",0.0282,"4","G3","post","b0","bias","uninformative","bayes.est"
"270","1",0.0327,"4","G3","post","b1","bias","uninformative","bayes.est"
"271","1",-6.1004,"4","G3","post","b0","coef","uninformative","bayes.est"
"272","1",0.1652,"4","G3","post","b1","coef","uninformative","bayes.est"
"273","1",0.0488,"4","G4","post","b0","bias","uninformative","bayes.est"
"274","1",0.067,"4","G4","post","b1","bias","uninformative","bayes.est"
"275","1",-4.9122,"4","G4","post","b0","coef","uninformative","bayes.est"
"276","1",0.0989,"4","G4","post","b1","coef","uninformative","bayes.est"
"277","1",-0.0091,"4","pi","post","pi","bias","uninformative","bayes.est"
"278","1",0.7156,"4","pi","post","pi","coef","uninformative","bayes.est"
"279","1",-9.3669,"4",NA,"prior","b0","coef","uninformative","bayes.est"
"280","1",0.1463,"4",NA,"prior","b1","coef","uninformative","bayes.est"
"281","1",0.0162,"5","G1","post","b0","bias","uninformative","bayes.est"
"282","1",0.0184,"5","G1","post","b1","bias","uninformative","bayes.est"
"283","1",-3.3255,"5","G1","post","b0","coef","uninformative","bayes.est"
"284","1",0.0926,"5","G1","post","b1","coef","uninformative","bayes.est"
"285","1",0.0076,"5","G2","post","b0","bias","uninformative","bayes.est"
"286","1",0.0027,"5","G2","post","b1","bias","uninformative","bayes.est"
"287","1",-4.5063,"5","G2","post","b0","coef","uninformative","bayes.est"
"288","1",0.0908,"5","G2","post","b1","coef","uninformative","bayes.est"
"289","1",0.0181,"5","G3","post","b0","bias","uninformative","bayes.est"
"290","1",0.0163,"5","G3","post","b1","bias","uninformative","bayes.est"
"291","1",-6.0408,"5","G3","post","b0","coef","uninformative","bayes.est"
"292","1",0.1626,"5","G3","post","b1","coef","uninformative","bayes.est"
"293","1",0.033,"5","G4","post","b0","bias","uninformative","bayes.est"
"294","1",0.0376,"5","G4","post","b1","bias","uninformative","bayes.est"
"295","1",-4.8382,"5","G4","post","b0","coef","uninformative","bayes.est"
"296","1",0.0961,"5","G4","post","b1","coef","uninformative","bayes.est"
"297","1",-0.0089,"5","pi","post","pi","bias","uninformative","bayes.est"
"298","1",0.7157,"5","pi","post","pi","coef","uninformative","bayes.est"
"299","1",-7.2876,"5",NA,"prior","b0","coef","uninformative","bayes.est"
"300","1",0.0282,"5",NA,"prior","b1","coef","uninformative","bayes.est"
"301","1",0.0176,"6","G1","post","b0","bias","uninformative","bayes.est"
"302","1",0.0229,"6","G1","post","b1","bias","uninformative","bayes.est"
"303","1",-3.3303,"6","G1","post","b0","coef","uninformative","bayes.est"
"304","1",0.0931,"6","G1","post","b1","coef","uninformative","bayes.est"
"305","1",0.0099,"6","G2","post","b0","bias","uninformative","bayes.est"
"306","1",0.0096,"6","G2","post","b1","bias","uninformative","bayes.est"
